ticker,security_name,gics_sector,gics_sub_industry,headquarters_location,cik,founded,status
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",899051,1931,active
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1579241,1908,active
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",6951,1967,active
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",1748790,2019 (1860),active
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2488,1969,active
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1037868,1930,active
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",318154,1980,active
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",820027,1894,active
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",1053507,1995,active
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",1018724,1994,active
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",1596532,2004,active
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",315293,1982 (1919),active
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",91142,1916,active
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1841666,1954,active
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",2969,1940,active
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",820313,1932,active
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",1858681,1990,active
APP,AppLovin,Information Technology,Application Software,"Palo Alto, California",1751008,2012,active
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Schaffhausen, Switzerland",1521332,1994,active
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1035443,1994,active
ARES,Ares Management,Financials,Asset Management & Custody Banks,"Los Angeles, California",1176948,1977,active
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",731802,1906,active
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",915912,1978,active
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",1730168,1961,active
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",8818,1935,active
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",1410636,1886,active
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",1069183,1993,active
AXP,American Express,Financials,Consumer Finance,"New York City, New York",4962,1850,active
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",866787,1979,active
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",12927,1916,active
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",70858,1998 (1923 / 1874),active
